Etc/UTC,Open,High,Low,Close,Volume
2026-05-21T11:28:00+00:00,1.16108,1.16128,1.16108,1.16124,49050000
2026-05-21T11:29:00+00:00,1.16122,1.1613,1.16122,1.16128,38700000
2026-05-21T11:30:00+00:00,1.16128,1.1614,1.16124,1.16138,40500000
2026-05-21T11:31:00+00:00,1.16137,1.16143,1.16135,1.1614,43200000
2026-05-21T11:32:00+00:00,1.16139,1.16144,1.16134,1.16134,66150000
2026-05-21T11:33:00+00:00,1.16134,1.16134,1.16113,1.16117,77800000
2026-05-21T11:34:00+00:00,1.16119,1.16119,1.16093,1.16097,82410000
2026-05-21T11:35:00+00:00,1.161,1.16103,1.16086,1.16092,61200000
2026-05-21T11:36:00+00:00,1.16094,1.16097,1.16085,1.16088,54930000
2026-05-21T11:37:00+00:00,1.16088,1.16091,1.1607,1.16074,100720000
2026-05-21T11:38:00+00:00,1.16077,1.16081,1.16073,1.16073,49950000
2026-05-21T11:39:00+00:00,1.16075,1.16092,1.16074,1.16092,73800000
2026-05-21T11:40:00+00:00,1.1609,1.16107,1.1609,1.16099,59400000
2026-05-21T11:41:00+00:00,1.16101,1.16104,1.16098,1.161,45900000
2026-05-21T11:42:00+00:00,1.16099,1.16109,1.16098,1.16098,51300000
2026-05-21T11:43:00+00:00,1.16098,1.161,1.16084,1.16084,46380000
2026-05-21T11:44:00+00:00,1.16085,1.1609,1.16074,1.16074,60300000
2026-05-21T11:45:00+00:00,1.16074,1.16076,1.16068,1.16074,51080000
2026-05-21T11:46:00+00:00,1.16074,1.16074,1.1607,1.16071,32400000
2026-05-21T11:47:00+00:00,1.1607,1.16074,1.16061,1.16072,42190000
2026-05-21T11:48:00+00:00,1.16072,1.16078,1.16071,1.16071,24750000
2026-05-21T11:49:00+00:00,1.16072,1.16073,1.1605,1.1605,61680000
2026-05-21T11:50:00+00:00,1.1605,1.16052,1.16045,1.16052,60780000
2026-05-21T11:51:00+00:00,1.16053,1.16066,1.16053,1.16066,77850000
2026-05-21T11:52:00+00:00,1.16065,1.16067,1.16051,1.16063,58500000
2026-05-21T11:53:00+00:00,1.16064,1.16064,1.16055,1.1606,72000000
2026-05-21T11:54:00+00:00,1.16058,1.16062,1.16022,1.16024,79640000
2026-05-21T11:55:00+00:00,1.16022,1.16023,1.15967,1.15968,189150000
2026-05-21T11:56:00+00:00,1.15968,1.15987,1.15963,1.15986,148050000
2026-05-21T11:57:00+00:00,1.15986,1.15987,1.15957,1.15962,117960000
2026-05-21T11:58:00+00:00,1.15963,1.15984,1.15963,1.15982,107550000
2026-05-21T11:59:00+00:00,1.15982,1.15992,1.15978,1.15988,188100000
2026-05-21T12:00:00+00:00,1.15988,1.16008,1.1598,1.16006,337530000
2026-05-21T12:01:00+00:00,1.16004,1.1602,1.16001,1.16016,149400000
2026-05-21T12:02:00+00:00,1.16017,1.16032,1.16016,1.16027,125100000
2026-05-21T12:03:00+00:00,1.16027,1.16032,1.16022,1.16027,49980000
2026-05-21T12:04:00+00:00,1.1603,1.1603,1.16009,1.16013,129150000
2026-05-21T12:05:00+00:00,1.16014,1.16016,1.16002,1.16013,75490000
2026-05-21T12:06:00+00:00,1.16016,1.16019,1.1601,1.16018,76050000
2026-05-21T12:07:00+00:00,1.16018,1.16019,1.16011,1.16012,47930000
2026-05-21T12:08:00+00:00,1.1601,1.16011,1.15986,1.15992,113400000
2026-05-21T12:09:00+00:00,1.15989,1.15997,1.15982,1.15985,113460000
2026-05-21T12:10:00+00:00,1.15984,1.15984,1.15971,1.15976,87330000
2026-05-21T12:11:00+00:00,1.15975,1.15992,1.15975,1.15977,69300000
2026-05-21T12:12:00+00:00,1.15977,1.15982,1.15972,1.15978,58050000
2026-05-21T12:13:00+00:00,1.1598,1.1598,1.1595,1.15956,97540000
2026-05-21T12:14:00+00:00,1.15956,1.15975,1.15956,1.15975,91350000
2026-05-21T12:15:00+00:00,1.15973,1.15977,1.15956,1.15957,68740000
2026-05-21T12:16:00+00:00,1.15955,1.15968,1.15947,1.15948,85530000
2026-05-21T12:17:00+00:00,1.15949,1.15952,1.15939,1.15949,130050000
2026-05-21T12:18:00+00:00,1.15946,1.15956,1.15939,1.15956,94500000
2026-05-21T12:19:00+00:00,1.15955,1.15982,1.15955,1.15981,89100000
2026-05-21T12:20:00+00:00,1.15983,1.15984,1.15951,1.15958,202390000
2026-05-21T12:21:00+00:00,1.15957,1.15958,1.15942,1.15958,109270000
2026-05-21T12:22:00+00:00,1.15957,1.15958,1.15951,1.15951,51300000
2026-05-21T12:23:00+00:00,1.1595,1.15954,1.15945,1.1595,69750000
2026-05-21T12:24:00+00:00,1.15948,1.15952,1.15936,1.15946,77400000
2026-05-21T12:25:00+00:00,1.15948,1.15954,1.15943,1.15945,130950000
2026-05-21T12:26:00+00:00,1.15948,1.15948,1.15934,1.1594,68850000
2026-05-21T12:27:00+00:00,1.1594,1.15947,1.15933,1.15946,56730000
2026-05-21T12:28:00+00:00,1.15947,1.15958,1.15942,1.15944,53550000
2026-05-21T12:29:00+00:00,1.15945,1.15952,1.15942,1.15944,62550000
2026-05-21T12:30:00+00:00,1.15946,1.15971,1.15943,1.15963,85560000
2026-05-21T12:31:00+00:00,1.15963,1.15987,1.15963,1.15987,57150000
2026-05-21T12:32:00+00:00,1.15985,1.1599,1.1596,1.1596,75150000
2026-05-21T12:33:00+00:00,1.15958,1.16037,1.15946,1.16014,571020000
2026-05-21T12:34:00+00:00,1.16015,1.16041,1.16002,1.16036,413130000
2026-05-21T12:35:00+00:00,1.16037,1.16039,1.16012,1.16025,242550000
2026-05-21T12:36:00+00:00,1.16023,1.16043,1.16014,1.16014,142650000
2026-05-21T12:37:00+00:00,1.16011,1.16039,1.15993,1.16038,139050000
2026-05-21T12:38:00+00:00,1.16037,1.16042,1.16028,1.16039,130500000
2026-05-21T12:39:00+00:00,1.16038,1.16049,1.16027,1.16037,128250000
2026-05-21T12:40:00+00:00,1.16037,1.16047,1.16031,1.16038,118800000
2026-05-21T12:41:00+00:00,1.16036,1.16039,1.16019,1.16019,120150000
2026-05-21T12:42:00+00:00,1.16019,1.16032,1.16019,1.16028,111600000
2026-05-21T12:43:00+00:00,1.16029,1.16033,1.16022,1.16033,74700000
2026-05-21T12:44:00+00:00,1.16034,1.16065,1.16032,1.16063,121500000
2026-05-21T12:45:00+00:00,1.16063,1.16076,1.1606,1.16074,110250000
2026-05-21T12:46:00+00:00,1.16074,1.1609,1.16073,1.16074,168750000
2026-05-21T12:47:00+00:00,1.16073,1.16074,1.16042,1.16046,129600000
2026-05-21T12:48:00+00:00,1.16045,1.16063,1.1604,1.16051,74730000
2026-05-21T12:49:00+00:00,1.16051,1.16056,1.16035,1.16038,156480000
2026-05-21T12:50:00+00:00,1.16039,1.16049,1.16033,1.16043,95400000
2026-05-21T12:51:00+00:00,1.16043,1.16045,1.1603,1.16038,77400000
2026-05-21T12:52:00+00:00,1.16038,1.16038,1.16022,1.16031,99030000
2026-05-21T12:53:00+00:00,1.16034,1.16034,1.16014,1.16019,109800000
2026-05-21T12:54:00+00:00,1.16021,1.16046,1.16021,1.16037,121090000
2026-05-21T12:55:00+00:00,1.16041,1.16041,1.16016,1.16021,94980000
2026-05-21T12:56:00+00:00,1.16025,1.16032,1.15998,1.16,143500000
2026-05-21T12:57:00+00:00,1.15999,1.1601,1.15988,1.15988,125550000
2026-05-21T12:58:00+00:00,1.15989,1.15994,1.15985,1.15987,76980000
2026-05-21T12:59:00+00:00,1.15987,1.15987,1.15969,1.15971,107550000
2026-05-21T13:00:00+00:00,1.15971,1.15987,1.15964,1.15986,176950000
2026-05-21T13:01:00+00:00,1.15986,1.15987,1.15969,1.15976,126510000
2026-05-21T13:02:00+00:00,1.15977,1.15996,1.15971,1.15993,90030000
2026-05-21T13:03:00+00:00,1.15992,1.15997,1.1598,1.15981,148980000
2026-05-21T13:04:00+00:00,1.15981,1.15997,1.15981,1.15994,87750000
2026-05-21T13:05:00+00:00,1.15996,1.15999,1.15986,1.15989,104400000
2026-05-21T13:06:00+00:00,1.15986,1.15992,1.15982,1.15991,56700000
2026-05-21T13:07:00+00:00,1.1599,1.1599,1.15966,1.15966,72480000
2026-05-21T13:08:00+00:00,1.15965,1.15967,1.15928,1.15932,148190000
2026-05-21T13:09:00+00:00,1.15931,1.15942,1.15928,1.15937,104470000
2026-05-21T13:10:00+00:00,1.15937,1.15954,1.15935,1.15949,96240000
2026-05-21T13:11:00+00:00,1.1595,1.15957,1.15943,1.15956,111150000
2026-05-21T13:12:00+00:00,1.15957,1.15964,1.15953,1.15961,85050000
2026-05-21T13:13:00+00:00,1.15961,1.15968,1.15952,1.15954,99340000
2026-05-21T13:14:00+00:00,1.15954,1.15956,1.15948,1.15953,75940000
2026-05-21T13:15:00+00:00,1.15953,1.15954,1.1593,1.15947,120720000
2026-05-21T13:16:00+00:00,1.15946,1.15952,1.15942,1.1595,78300000
2026-05-21T13:17:00+00:00,1.15951,1.15958,1.15948,1.15951,65010000
2026-05-21T13:18:00+00:00,1.15952,1.15955,1.15909,1.15911,123250000
2026-05-21T13:19:00+00:00,1.15909,1.15909,1.15876,1.15881,189430000
2026-05-21T13:20:00+00:00,1.15883,1.15897,1.15878,1.15881,88990000
2026-05-21T13:21:00+00:00,1.15881,1.1591,1.15875,1.15907,161580000
2026-05-21T13:22:00+00:00,1.15911,1.15917,1.15902,1.15912,67950000
2026-05-21T13:23:00+00:00,1.15911,1.1592,1.15902,1.15902,56700000
2026-05-21T13:24:00+00:00,1.15901,1.15917,1.15896,1.15915,97420000
2026-05-21T13:25:00+00:00,1.15918,1.15924,1.15893,1.15894,65280000
2026-05-21T13:26:00+00:00,1.15893,1.15907,1.15893,1.15899,69750000
2026-05-21T13:27:00+00:00,1.15898,1.159,1.15889,1.15893,41460000
2026-05-21T13:28:00+00:00,1.15891,1.15899,1.15875,1.15884,90060000
2026-05-21T13:29:00+00:00,1.15882,1.15896,1.15874,1.15894,86400000
2026-05-21T13:30:00+00:00,1.15896,1.159,1.15882,1.15889,217150000
2026-05-21T13:31:00+00:00,1.15885,1.15893,1.15862,1.15868,120520000
2026-05-21T13:32:00+00:00,1.15866,1.15883,1.15847,1.15857,146170000
2026-05-21T13:33:00+00:00,1.15855,1.15857,1.15835,1.15837,104640000
2026-05-21T13:34:00+00:00,1.15837,1.15847,1.15835,1.15845,116890000
2026-05-21T13:35:00+00:00,1.15843,1.15853,1.15821,1.15828,304430000
2026-05-21T13:36:00+00:00,1.1583,1.15843,1.15822,1.15832,144350000
2026-05-21T13:37:00+00:00,1.15835,1.1584,1.15816,1.15837,180590000
2026-05-21T13:38:00+00:00,1.15835,1.15853,1.15813,1.15817,211750000
2026-05-21T13:39:00+00:00,1.15821,1.15826,1.15808,1.15808,181250000
2026-05-21T13:40:00+00:00,1.15808,1.15826,1.15806,1.15817,149620000
2026-05-21T13:41:00+00:00,1.15816,1.15818,1.15793,1.15796,246520000
2026-05-21T13:42:00+00:00,1.15795,1.15805,1.15763,1.15765,189450000
2026-05-21T13:43:00+00:00,1.15767,1.1579,1.15765,1.15783,108120000
2026-05-21T13:44:00+00:00,1.15784,1.15797,1.15771,1.15777,283820000
2026-05-21T13:45:00+00:00,1.15776,1.15808,1.15774,1.15793,163930000
2026-05-21T13:46:00+00:00,1.15795,1.15806,1.15791,1.15805,197550000
2026-05-21T13:47:00+00:00,1.15805,1.15826,1.15798,1.15824,185400000
2026-05-21T13:48:00+00:00,1.15824,1.1584,1.15816,1.15838,220950000
2026-05-21T13:49:00+00:00,1.15838,1.15845,1.15828,1.15828,171450000
2026-05-21T13:50:00+00:00,1.15829,1.15854,1.15826,1.15853,212400000
2026-05-21T13:51:00+00:00,1.15853,1.15889,1.15835,1.15888,245880000
2026-05-21T13:52:00+00:00,1.15887,1.15924,1.15874,1.15898,1247940000
2026-05-21T13:53:00+00:00,1.159,1.15938,1.15897,1.15934,526320000
2026-05-21T13:54:00+00:00,1.15935,1.1601,1.15928,1.15974,489090000
2026-05-21T13:55:00+00:00,1.15976,1.15999,1.15963,1.15963,466630000
2026-05-21T13:56:00+00:00,1.15964,1.15969,1.15938,1.15954,344680000
2026-05-21T13:57:00+00:00,1.15954,1.15961,1.15923,1.15925,223000000
2026-05-21T13:58:00+00:00,1.15926,1.15948,1.15923,1.15933,192460000
2026-05-21T13:59:00+00:00,1.15934,1.15948,1.15931,1.15946,130360000
2026-05-21T14:00:00+00:00,1.15947,1.15957,1.15911,1.15925,172270000
2026-05-21T14:01:00+00:00,1.15923,1.15942,1.15915,1.15923,151320000
2026-05-21T14:02:00+00:00,1.15922,1.15949,1.15922,1.15928,280800000
2026-05-21T14:03:00+00:00,1.15927,1.15945,1.15923,1.15937,179890000
2026-05-21T14:04:00+00:00,1.15937,1.15947,1.15927,1.15931,192150000
2026-05-21T14:05:00+00:00,1.1593,1.15951,1.15928,1.15942,187990000
2026-05-21T14:06:00+00:00,1.15943,1.15943,1.15918,1.1593,178650000
2026-05-21T14:07:00+00:00,1.15933,1.15942,1.15926,1.15937,208530000
2026-05-21T14:08:00+00:00,1.15934,1.15944,1.15923,1.15927,157420000
2026-05-21T14:09:00+00:00,1.15928,1.15943,1.15917,1.15919,109800000
2026-05-21T14:10:00+00:00,1.15917,1.15924,1.15913,1.15924,113850000
2026-05-21T14:11:00+00:00,1.15922,1.1593,1.15912,1.15929,91800000
2026-05-21T14:12:00+00:00,1.15928,1.15928,1.15901,1.15902,133680000
2026-05-21T14:13:00+00:00,1.15902,1.15903,1.1588,1.15892,132750000
2026-05-21T14:14:00+00:00,1.15891,1.15934,1.15884,1.15927,210610000
2026-05-21T14:15:00+00:00,1.15928,1.15938,1.1588,1.1588,299170000
2026-05-21T14:16:00+00:00,1.15879,1.15886,1.15846,1.15863,180090000
2026-05-21T14:17:00+00:00,1.15866,1.15881,1.15863,1.15881,152110000
2026-05-21T14:18:00+00:00,1.15882,1.15888,1.15873,1.15875,160650000
2026-05-21T14:19:00+00:00,1.15875,1.15878,1.1586,1.1587,174210000
2026-05-21T14:20:00+00:00,1.15869,1.15879,1.15844,1.15844,289680000
2026-05-21T14:21:00+00:00,1.15843,1.15864,1.15841,1.15859,208540000
2026-05-21T14:22:00+00:00,1.15858,1.15869,1.15856,1.15859,260270000
2026-05-21T14:23:00+00:00,1.15859,1.15878,1.15857,1.15868,226480000
2026-05-21T14:24:00+00:00,1.15868,1.15893,1.15864,1.15866,229390000
2026-05-21T14:25:00+00:00,1.15866,1.1588,1.15864,1.15876,201110000
2026-05-21T14:26:00+00:00,1.15875,1.1588,1.15866,1.15876,131880000
2026-05-21T14:27:00+00:00,1.15876,1.15891,1.15873,1.15891,120490000
2026-05-21T14:28:00+00:00,1.1589,1.15896,1.15879,1.15888,172240000
